,Link,Brand,Model,Laptop Series,Part No,Processor Brand,Processor Model,Processor Core,RAM,RAM Type,Installed SSD Type,Graphics Chipset,Graphics Memory Accessibility,Graphics Memory,Display Size (Inch),Display Type,Display Resolution,Touch Screen,HDMI Port,LAN,Finger Print Sensor,Operating System,Color,Weight (Kg),Power Adapter,Warranty,Country Of Origin
429,https://www.ryans.com/lenovo-ideapad-slim-3i-15iau7-intel-core-i5-1235u-15.6-inch-fhd-display-arctic-grey-laptop,Lenovo,Lenovo IdeaPad Slim 3i 15IAU7,IdeaPad,82RK00UNIN,Intel,Core i5 1235U,10,8GB,DDR4,NVMe PCIe,Intel Iris Xe Graphics,Integrated,Shared,15.6,FHD LED Display,1920x1080,No,1,No,No,Win-11 Home,Arctic Grey,1.63,65,2,China
430,https://www.ryans.com/lenovo-ideapad-slim-3i-15iau7-intel-core-i5-1235u-15.6-inch-fhd-display-arctic-grey-laptop,Lenovo,Lenovo IdeaPad Slim 3i 15IAU7,IdeaPad,82RK00UNIN,Intel,Core i5 1235U,10,8GB,DDR4,NVMe PCIe,Intel Iris Xe Graphics,Integrated,Shared,15.6,FHD LED Display,1920x1080,No,1,No,No,Win-11 Home,Arctic Grey,1.63,65,2,China
431,https://www.ryans.com/lenovo-ideapad-slim-3i-15iau7-intel-core-i5-1235u-15.6-inch-fhd-display-arctic-grey-laptop,Lenovo,Lenovo IdeaPad Slim 3i 15IAU7,IdeaPad,82RK00UNIN,Intel,Core i5 1235U,10,8GB,DDR4,NVMe PCIe,Intel Iris Xe Graphics,Integrated,Shared,15.6,FHD LED Display,1920x1080,No,1,No,No,Win-11 Home,Arctic Grey,1.63,65,2,China
432,https://www.ryans.com/asus-expertbook-b1-b1400ceae-intel-core-i5-1135g7-14-inch-fhd-display-star-black-laptop,Asus,Asus ExpertBook B1 B1400CEAE,ExpertBook,EB5114/EB5114N,Intel,Core i5 1135G7,4,4GB,DDR4,No SSD,Intel Iris Xe Graphics,Integrated,Shared,14,FHD,1920x1080,No,1,Yes,Yes,Free-Dos,Star Black,1.45,65,3,Taiwan
433,https://www.ryans.com/asus-expertbook-b1-b1400ceae-intel-core-i5-1135g7-14-inch-fhd-display-star-black-laptop,Asus,Asus ExpertBook B1 B1400CEAE,ExpertBook,EB5114/EB5114N,Intel,Core i5 1135G7,4,4GB,DDR4,No SSD,Intel Iris Xe Graphics,Integrated,Shared,14,FHD,1920x1080,No,1,Yes,Yes,Free-Dos,Star Black,1.45,65,3,Taiwan
434,https://www.ryans.com/asus-expertbook-b1-b1400ceae-intel-core-i5-1135g7-14-inch-fhd-display-star-black-laptop,Asus,Asus ExpertBook B1 B1400CEAE,ExpertBook,EB5114/EB5114N,Intel,Core i5 1135G7,4,4GB,DDR4,No SSD,Intel Iris Xe Graphics,Integrated,Shared,14,FHD,1920x1080,No,1,Yes,Yes,Free-Dos,Star Black,1.45,65,3,Taiwan
435,https://www.ryans.com/lenovo-ideapad-slim-3i-15itl6-11th-gen-intel-core-i7-1165g7-16gb-ram-512gb-ssd-15.6-inch-fhd-antiglare-display-arctic-grey-laptop,Lenovo,Lenovo IdeaPad Slim 3i 15ITL6,IdeaPad,82H803UCIN,Intel,Core i7 1165G7,4,16GB,DDR4,NVMe PCIe,Intel Iris Xe Graphics,Integrated,Shared,15.6,FHD LED Display,1920x1080,No,1,No,No,Free-Dos,Arctic Grey,1.65,65,2,China
436,https://www.ryans.com/lenovo-ideapad-slim-3i-15itl6-11th-gen-intel-core-i7-1165g7-16gb-ram-512gb-ssd-15.6-inch-fhd-antiglare-display-arctic-grey-laptop,Lenovo,Lenovo IdeaPad Slim 3i 15ITL6,IdeaPad,82H803UCIN,Intel,Core i7 1165G7,4,16GB,DDR4,NVMe PCIe,Intel Iris Xe Graphics,Integrated,Shared,15.6,FHD LED Display,1920x1080,No,1,No,No,Free-Dos,Arctic Grey,1.65,65,2,China
437,https://www.ryans.com/lenovo-ideapad-slim-3i-15itl6-11th-gen-intel-core-i7-1165g7-16gb-ram-512gb-ssd-15.6-inch-fhd-antiglare-display-arctic-grey-laptop,Lenovo,Lenovo IdeaPad Slim 3i 15ITL6,IdeaPad,82H803UCIN,Intel,Core i7 1165G7,4,16GB,DDR4,NVMe PCIe,Intel Iris Xe Graphics,Integrated,Shared,15.6,FHD LED Display,1920x1080,No,1,No,No,Free-Dos,Arctic Grey,1.65,65,2,China
438,https://www.ryans.com/lenovo-ideapad-slim-3i-15irh8-intel-core-i5-13420h-512gb-ssd-15.6-inch-fhd-display-abyss-blue-laptop,Lenovo,Lenovo IdeaPad Slim 3i 15IRH8,IdeaPad,83EM001WLK,Intel,Core i5 13420H,8,8GB,DDR5,NVMe PCIe,Intel UHD Graphics,Integrated,Shared,15.6,FHD LED Display,1920x1080,No,1,No,Yes,Free-Dos,Abyss Blue,1.62,65,2,China
439,https://www.ryans.com/lenovo-ideapad-slim-3i-15irh8-intel-core-i5-13420h-512gb-ssd-15.6-inch-fhd-display-abyss-blue-laptop,Lenovo,Lenovo IdeaPad Slim 3i 15IRH8,IdeaPad,83EM001WLK,Intel,Core i5 13420H,8,8GB,DDR5,NVMe PCIe,Intel UHD Graphics,Integrated,Shared,15.6,FHD LED Display,1920x1080,No,1,No,Yes,Free-Dos,Abyss Blue,1.62,65,2,China
440,https://www.ryans.com/lenovo-ideapad-slim-3i-15irh8-intel-core-i5-13420h-512gb-ssd-15.6-inch-fhd-display-abyss-blue-laptop,Lenovo,Lenovo IdeaPad Slim 3i 15IRH8,IdeaPad,83EM001WLK,Intel,Core i5 13420H,8,8GB,DDR5,NVMe PCIe,Intel UHD Graphics,Integrated,Shared,15.6,FHD LED Display,1920x1080,No,1,No,Yes,Free-Dos,Abyss Blue,1.62,65,2,China
441,https://www.ryans.com/lenovo-ideapad-slim-3i-15irh8-intel-core-i5-13420h-512gb-ssd-15.6-inch-fhd-antiglare-display-arctic-grey-laptop,Lenovo,Lenovo IdeaPad Slim 3i 15IRH8,IdeaPad,83EM001XLK,Intel,Core i5 13420H,8,8GB,DDR5,NVMe PCIe,Intel UHD Graphics,Integrated,Shared,15.6,FHD LED Display,1920x1080,No,1,No,Yes,Free-Dos,Arctic Grey,1.62,65,2,China
442,https://www.ryans.com/lenovo-ideapad-slim-3i-15irh8-intel-core-i5-13420h-512gb-ssd-15.6-inch-fhd-antiglare-display-arctic-grey-laptop,Lenovo,Lenovo IdeaPad Slim 3i 15IRH8,IdeaPad,83EM001XLK,Intel,Core i5 13420H,8,8GB,DDR5,NVMe PCIe,Intel UHD Graphics,Integrated,Shared,15.6,FHD LED Display,1920x1080,No,1,No,Yes,Free-Dos,Arctic Grey,1.62,65,2,China
